BM/Events:E;BM/FramesPerSecond:E;BM/RunTimeSeconds:E
BeginWorkloadWork:FireStrikeGt1C:FireStrikeGt1C:0:0;;0.001519
;92.207779;11.807145
;89.056076;12.807145
;88.270775;13.807145
;88.537569;14.807145
;93.278975;15.807145
;90.719384;16.807145
;86.389729;17.807145
;82.285370;18.807145
;94.394366;19.807145
;99.143403;20.807145
;102.710371;21.807145
;96.293243;22.807145
;89.011909;23.807145
;83.718413;24.807145
;80.727026;25.807145
;78.882618;26.807145
;83.514760;27.807145
;88.503542;28.807145
;94.763448;29.807145
;101.791906;30.807145
;110.242714;31.807145
;101.837713;32.807145
;96.374008;33.807145
;95.494127;34.807145
;92.268629;35.807145
;90.587012;36.807145
;95.889047;37.807145
;100.356549;38.807145
;101.596511;39.807145
;105.867966;40.807145
BeginWorkloadWork:FireStrikeGt2C:FireStrikeGt2C:1:0;;43.185693
;72.983573;57.807145
;67.977551;58.807145
;67.348537;59.807145
;68.156226;60.807145
;70.218729;61.807145
;71.428566;62.807145
;71.696045;63.807145
;86.650482;64.807145
;107.558895;65.807145
;106.282991;66.807145
;98.922581;67.807145
;95.136153;68.807145
;97.383003;69.807145
;89.271886;70.807145
;78.796924;71.807145
;76.717262;72.807145
;75.439002;73.807145
;76.272544;74.807145
;77.150478;75.807145
;82.591948;76.807145
;89.405391;77.807145
;85.257166;78.807145
;82.209996;79.807145
;81.890436;80.807145
;71.035529;81.807145
;64.498104;82.807145
;64.489583;83.807145
;70.767079;84.807145
;71.799569;85.807145
;71.905960;86.807145
;68.342945;87.807145
;63.060890;88.807145
;76.004586;89.807145
;81.739696;90.807145
;76.789161;91.807145
;73.797052;92.807145
;74.532556;93.807145
;75.693094;94.807145
;76.838873;95.807145
;78.017021;96.807145
;81.770742;97.807145
;83.602168;98.807145
BeginWorkloadWork:FireStrikePhysicsC:FireStrikePhysicsC:2:0;;100.940317
;41.511812;105.807145
;42.600296;106.807145
;40.380660;107.807145
;40.104959;108.807145
;35.787174;109.807145
;37.728809;110.807145
;38.545048;111.807145
;37.068350;112.807145
;40.116963;113.807145
;38.501753;114.807145
;39.285878;115.807145
;39.437837;116.807145
;38.978005;117.807145
;38.545343;118.807145
;38.461536;119.807145
;37.266712;120.807145
;36.575654;121.807145
;38.734679;122.807145
;37.180005;123.807145
;38.144765;124.807145
BeginWorkloadWork:FireStrikeCombinedC:FireStrikeCombinedC:3:0;;126.924449
;46.420212;144.807145
;47.010897;145.807145
;43.552457;146.807145
;40.995903;147.807145
;42.299361;148.807145
;40.662031;149.807145
;39.719095;150.807145
;37.596483;151.807145
;36.284214;152.807145
;34.871658;153.807145
;35.105433;154.807145
;36.489206;155.807145
;35.890890;156.807145
;37.013873;157.807145
;38.832762;158.807145
;40.533150;159.807145
;42.258461;160.807145
;43.283257;161.807145
;44.348341;162.807145
EndWorkloadWork:FireStrikeCombinedC:FireStrikeCombinedC:3:0;;165.331115
